Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 13:24:44:29,1,2,0,1,122129,87638,130865,13,-676,735
05.10.2024 13:24:44:33,2,2,0,1,122130,87631,130855,11,-675,739
05.10.2024 13:24:44:37,3,2,0,1,122130,87633,130851,9,-682,734
05.10.2024 13:24:44:41,4,2,0,1,122132,87636,130838,8,-685,740
05.10.2024 13:24:44:45,5,2,0,1,122134,87634,130832,12,-681,738
05.10.2024 13:24:44:49,6,2,0,1,122127,87637,130823,10,-681,737
05.10.2024 13:24:44:53,7,2,0,1,122131,87640,130809,13,-676,733
05.10.2024 13:24:44:57,8,2,0,1,122130,87636,130801,10,-676,741
05.10.2024 13:24:44:61,9,2,0,1,122132,87639,130789,11,-679,738
05.10.2024 13:24:44:64,10,2,0,1,122132,87637,130781,8,-679,735
05.10.2024 13:24:44:68,11,2,0,1,122132,87649,130777,10,-682,739
05.10.2024 13:24:44:72,12,2,0,1,122128,87653,130768,12,-680,741
05.10.2024 13:24:44:76,13,2,0,1,122131,87659,130756,8,-683,740
05.10.2024 13:24:44:80,14,2,0,1,122129,87650,130752,8,-684,736
05.10.2024 13:24:44:84,15,2,0,1,122130,87654,130740,12,-686,739
05.10.2024 13:24:44:88,16,2,0,1,122138,87657,130736,16,-676,734
05.10.2024 13:24:44:92,17,2,0,1,122130,87657,130729,8,-678,733
05.10.2024 13:24:44:96,18,2,0,1,122126,87666,130720,11,-673,733
05.10.2024 13:24:44:100,19,2,0,1,122132,87660,130721,9,-678,738
05.10.2024 13:24:44:103,20,2,0,1,122127,87665,130711,12,-679,738
05.10.2024 13:24:44:107,21,2,0,1,122130,87665,130703,8,-684,740
05.10.2024 13:24:44:111,22,2,0,1,122125,87685,130705,14,-679,741
05.10.2024 13:24:44:115,23,2,0,1,122127,87683,130694,9,-680,737
05.10.2024 13:24:44:119,24,2,0,1,122129,87688,130693,11,-681,740
05.10.2024 13:24:44:123,25,2,0,1,122129,87690,130680,10,-677,737
05.10.2024 13:24:44:127,26,2,0,1,122122,87687,130682,11,-677,738
05.10.2024 13:24:44:131,27,2,0,1,122130,87701,130673,9,-677,739
05.10.2024 13:24:44:135,28,2,0,1,122126,87699,130670,6,-679,742
05.10.2024 13:24:44:139,29,2,0,1,122124,87704,130669,12,-678,744
05.10.2024 13:24:44:142,30,2,0,1,122124,87704,130659,10,-679,740
05.10.2024 13:24:44:146,31,2,0,1,122128,87709,130662,11,-680,740
05.10.2024 13:24:44:150,32,2,0,1,122124,87715,130655,6,-679,735
05.10.2024 13:24:44:154,33,2,0,1,122125,87723,130654,17,-680,736
05.10.2024 13:24:44:158,34,2,0,1,122127,87722,130650,11,-677,736
05.10.2024 13:24:44:162,35,2,0,1,122124,87731,130648,15,-681,739
05.10.2024 13:24:44:166,36,2,0,1,122131,87724,130641,14,-679,741
05.10.2024 13:24:44:170,37,2,0,1,122129,87732,130638,10,-683,736
05.10.2024 13:24:44:174,38,2,0,1,122123,87745,130630,9,-677,742
05.10.2024 13:24:44:178,39,2,0,1,122126,87735,130627,14,-683,747
05.10.2024 13:24:44:181,40,2,0,1,122130,87745,130635,9,-678,740
05.10.2024 13:24:44:185,41,2,0,1,122126,87747,130630,11,-678,737
05.10.2024 13:24:44:189,42,2,0,1,122130,87745,130627,11,-674,736
05.10.2024 13:24:44:193,43,2,0,1,122122,87757,130624,13,-676,732
05.10.2024 13:24:44:197,44,2,0,1,122124,87771,130621,7,-675,738
05.10.2024 13:24:44:201,45,2,0,1,122123,87772,130615,6,-676,736
05.10.2024 13:24:44:205,46,2,0,1,122127,87775,130616,12,-676,732
05.10.2024 13:24:44:209,47,2,0,1,122124,87780,130611,8,-682,740
05.10.2024 13:24:44:213,48,2,0,1,122125,87779,130612,7,-678,737
05.10.2024 13:24:44:217,49,2,0,1,122126,87785,130603,7,-680,741
05.10.2024 13:24:44:220,50,2,0,1,122118,87791,130605,4,-678,737
05.10.2024 13:24:44:224,51,2,0,1,122123,87790,130602,6,-674,740
05.10.2024 13:24:44:228,52,2,0,1,122123,87795,130597,9,-673,739
05.10.2024 13:24:44:232,53,2,0,1,122124,87792,130599,9,-675,743
05.10.2024 13:24:44:236,54,2,0,1,122132,87803,130594,7,-681,737
05.10.2024 13:24:44:240,55,2,0,1,122124,87810,130598,13,-680,739
05.10.2024 13:24:44:244,56,2,0,1,122122,87808,130595,4,-679,741
05.10.2024 13:24:44:248,57,2,0,1,122126,87816,130593,10,-679,740
05.10.2024 13:24:44:252,58,2,0,1,122127,87821,130589,8,-683,734
05.10.2024 13:24:44:256,59,2,0,1,122125,87831,130586,9,-676,737
05.10.2024 13:24:44:259,60,2,0,1,122128,87830,130582,7,-676,741
05.10.2024 13:24:44:263,61,2,0,1,122127,87837,130585,9,-675,736
05.10.2024 13:24:44:267,62,2,0,1,122126,87835,130582,6,-679,738
