Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 20:30:06:667,1,0,1,2,62898,104041,66414,-48,-636,774
05.10.2024 20:30:06:671,2,0,1,2,62920,104150,66516,-50,-630,772
05.10.2024 20:30:06:675,3,0,1,2,62931,104274,66636,-49,-624,759
05.10.2024 20:30:06:679,4,0,1,2,62961,104414,66759,-52,-613,743
05.10.2024 20:30:06:683,5,0,1,2,62972,104559,66884,-66,-632,696
05.10.2024 20:30:06:687,6,0,1,2,62988,104679,66991,-79,-649,671
05.10.2024 20:30:06:691,7,0,1,2,63008,104790,67087,-87,-637,700
05.10.2024 20:30:06:695,8,0,1,2,63021,104889,67176,-73,-623,765
05.10.2024 20:30:06:699,9,0,1,2,63040,104965,67234,-58,-605,773
05.10.2024 20:30:06:703,10,0,1,2,63048,104989,67248,-40,-642,730
05.10.2024 20:30:06:706,11,0,1,2,63059,104961,67231,-24,-700,802
05.10.2024 20:30:06:710,12,0,1,2,63049,104910,67200,10,-771,838
05.10.2024 20:30:06:714,13,0,1,2,63056,104871,67178,22,-760,839
05.10.2024 20:30:06:718,14,0,1,2,63047,104835,67155,19,-703,887
05.10.2024 20:30:06:722,15,0,1,2,63029,104800,67128,-4,-666,879
05.10.2024 20:30:06:726,16,0,1,2,63020,104761,67094,-8,-651,878
05.10.2024 20:30:06:730,17,0,1,2,63001,104711,67061,-6,-623,871
05.10.2024 20:30:06:734,18,0,1,2,62991,104667,67034,-14,-619,848
05.10.2024 20:30:06:738,19,0,1,2,62975,104632,67005,-31,-621,851
05.10.2024 20:30:06:742,20,0,1,2,62954,104600,66980,-18,-653,870
05.10.2024 20:30:06:745,21,0,1,2,62924,104578,66961,-12,-653,855
05.10.2024 20:30:06:749,22,0,1,2,62905,104570,66954,-19,-615,819
05.10.2024 20:30:06:753,23,0,1,2,62879,104552,66944,-27,-613,836
05.10.2024 20:30:06:757,24,0,1,2,62856,104553,66940,-39,-572,797
05.10.2024 20:30:06:761,25,0,1,2,62823,104558,66943,-54,-520,778
05.10.2024 20:30:06:765,26,0,1,2,62796,104556,66942,-61,-524,780
05.10.2024 20:30:06:769,27,0,1,2,62757,104559,66935,-56,-541,772
05.10.2024 20:30:06:773,28,0,1,2,62729,104555,66938,-48,-537,770
05.10.2024 20:30:06:777,29,0,1,2,62696,104553,66930,-42,-523,770
05.10.2024 20:30:06:781,30,0,1,2,62663,104550,66919,-47,-525,785
05.10.2024 20:30:06:784,31,0,1,2,62634,104541,66912,-57,-507,800
05.10.2024 20:30:06:788,32,0,1,2,62601,104525,66901,-63,-505,806
05.10.2024 20:30:06:792,33,0,1,2,62562,104504,66885,-60,-509,812
05.10.2024 20:30:06:796,34,0,1,2,62544,104482,66874,-57,-512,803
05.10.2024 20:30:06:800,35,0,1,2,62508,104459,66847,-55,-517,812
05.10.2024 20:30:06:804,36,0,1,2,62482,104433,66825,-53,-550,827
05.10.2024 20:30:06:808,37,0,1,2,62451,104397,66805,-56,-569,842
05.10.2024 20:30:06:812,38,0,1,2,62429,104369,66787,-58,-567,847
05.10.2024 20:30:06:816,39,0,1,2,62407,104348,66769,-52,-576,858
05.10.2024 20:30:06:820,40,0,1,2,62390,104326,66761,-49,-581,862
05.10.2024 20:30:06:824,41,0,1,2,62366,104306,66750,-54,-599,856
05.10.2024 20:30:06:827,42,0,1,2,62342,104287,66741,-58,-592,851
05.10.2024 20:30:06:831,43,0,1,2,62331,104271,66732,-62,-589,844
05.10.2024 20:30:06:835,44,0,1,2,62317,104248,66723,-70,-563,842
05.10.2024 20:30:06:839,45,0,1,2,62286,104226,66707,-73,-550,835
05.10.2024 20:30:06:843,46,0,1,2,62269,104202,66695,-64,-533,820
05.10.2024 20:30:06:847,47,0,1,2,62256,104168,66679,-64,-529,820
05.10.2024 20:30:06:851,48,0,1,2,62239,104138,66659,-58,-520,817
05.10.2024 20:30:06:855,49,0,1,2,62225,104095,66632,-66,-511,815
05.10.2024 20:30:06:859,50,0,1,2,62198,104052,66604,-66,-491,807
05.10.2024 20:30:06:863,51,0,1,2,62182,104015,66588,-92,-442,791
05.10.2024 20:30:06:866,52,0,1,2,62170,103977,66568,-98,-407,785
05.10.2024 20:30:06:870,53,0,1,2,62155,103932,66545,-103,-388,798
05.10.2024 20:30:06:874,54,0,1,2,62161,103885,66518,-71,-426,820
05.10.2024 20:30:06:878,55,0,1,2,62154,103824,66486,-66,-452,824
05.10.2024 20:30:06:882,56,0,1,2,62160,103754,66448,-41,-478,846
05.10.2024 20:30:06:886,57,0,1,2,62168,103677,66407,-47,-487,854
05.10.2024 20:30:06:890,58,0,1,2,62183,103592,66359,-46,-497,867
05.10.2024 20:30:06:894,59,0,1,2,62202,103491,66306,-53,-523,875
05.10.2024 20:30:06:898,60,0,1,2,62228,103386,66251,-47,-537,875
05.10.2024 20:30:06:902,61,0,1,2,62249,103279,66200,-48,-557,879
05.10.2024 20:30:06:905,62,0,1,2,62269,103174,66140,-42,-567,873
05.10.2024 20:30:06:909,63,0,1,2,62286,103068,66083,-47,-565,868
05.10.2024 20:30:06:913,64,0,1,2,62307,102966,66038,-50,-559,854
05.10.2024 20:30:06:917,65,0,1,2,62318,102870,65989,-57,-548,843
05.10.2024 20:30:06:921,66,0,1,2,62339,102772,65938,-65,-537,831
05.10.2024 20:30:06:925,67,0,1,2,62341,102666,65876,-61,-531,824
05.10.2024 20:30:06:929,68,0,1,2,62349,102550,65815,-56,-524,832
05.10.2024 20:30:06:933,69,0,1,2,62357,102435,65746,-56,-530,831
05.10.2024 20:30:06:937,70,0,1,2,62363,102317,65680,-62,-530,842
05.10.2024 20:30:06:941,71,0,1,2,62373,102212,65620,-61,-524,839
05.10.2024 20:30:06:945,72,0,1,2,62379,102114,65562,-63,-524,840
05.10.2024 20:30:06:948,73,0,1,2,62370,102023,65510,-61,-516,840
05.10.2024 20:30:06:952,74,0,1,2,62364,101937,65460,-59,-506,850
05.10.2024 20:30:06:956,75,0,1,2,62360,101866,65421,-53,-497,859
05.10.2024 20:30:06:960,76,0,1,2,62338,101796,65381,-48,-496,862
05.10.2024 20:30:06:964,77,0,1,2,62317,101729,65343,-46,-491,864
05.10.2024 20:30:06:968,78,0,1,2,62303,101671,65313,-47,-494,868
05.10.2024 20:30:06:972,79,0,1,2,62267,101620,65288,-51,-504,863
05.10.2024 20:30:06:976,80,0,1,2,62230,101564,65260,-50,-509,872
05.10.2024 20:30:06:980,81,0,1,2,62200,101510,65231,-48,-516,872
05.10.2024 20:30:06:984,82,0,1,2,62170,101467,65212,-48,-525,872
05.10.2024 20:30:06:987,83,0,1,2,62144,101413,65198,-49,-535,868
05.10.2024 20:30:06:991,84,0,1,2,62116,101376,65181,-46,-542,856
05.10.2024 20:30:06:995,85,0,1,2,62092,101333,65165,-55,-537,843
05.10.2024 20:30:06:999,86,0,1,2,62075,101288,65146,-55,-535,839
05.10.2024 20:30:07:3,87,0,1,2,62049,101235,65122,-69,-527,813
