Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 20:27:23:300,1,0,1,2,56305,93083,63334,-70,-228,969
05.10.2024 20:27:23:304,2,0,1,2,56303,93072,63338,-69,-231,971
05.10.2024 20:27:23:308,3,0,1,2,56298,93070,63337,-73,-225,971
05.10.2024 20:27:23:312,4,0,1,2,56299,93052,63333,-68,-226,973
05.10.2024 20:27:23:316,5,0,1,2,56296,93054,63330,-69,-226,971
05.10.2024 20:27:23:320,6,0,1,2,56294,93037,63333,-66,-234,969
05.10.2024 20:27:23:324,7,0,1,2,56299,93028,63333,-71,-232,968
05.10.2024 20:27:23:328,8,0,1,2,56292,93024,63332,-65,-232,973
05.10.2024 20:27:23:332,9,0,1,2,56293,93013,63332,-70,-225,962
05.10.2024 20:27:23:336,10,0,1,2,56292,93007,63333,-67,-225,974
05.10.2024 20:27:23:339,11,0,1,2,56289,93002,63326,-65,-232,969
05.10.2024 20:27:23:343,12,0,1,2,56288,92999,63331,-64,-227,971
05.10.2024 20:27:23:347,13,0,1,2,56282,92992,63326,-69,-233,969
05.10.2024 20:27:23:351,14,0,1,2,56280,92985,63326,-65,-231,971
05.10.2024 20:27:23:355,15,0,1,2,56285,92979,63329,-66,-231,970
05.10.2024 20:27:23:359,16,0,1,2,56286,92976,63325,-67,-232,973
05.10.2024 20:27:23:363,17,0,1,2,56284,92969,63325,-66,-227,966
05.10.2024 20:27:23:367,18,0,1,2,56288,92962,63329,-66,-232,970
05.10.2024 20:27:23:371,19,0,1,2,56287,92958,63327,-65,-234,969
05.10.2024 20:27:23:375,20,0,1,2,56283,92953,63327,-64,-228,966
05.10.2024 20:27:23:378,21,0,1,2,56290,92948,63326,-65,-231,970
05.10.2024 20:27:23:382,22,0,1,2,56290,92939,63329,-72,-233,966
05.10.2024 20:27:23:386,23,0,1,2,56292,92932,63326,-66,-233,971
05.10.2024 20:27:23:390,24,0,1,2,56296,92933,63328,-63,-234,969
05.10.2024 20:27:23:394,25,0,1,2,56301,92927,63328,-71,-233,966
05.10.2024 20:27:23:398,26,0,1,2,56302,92925,63325,-67,-234,970
05.10.2024 20:27:23:402,27,0,1,2,56300,92926,63320,-65,-232,971
05.10.2024 20:27:23:406,28,0,1,2,56304,92918,63321,-69,-231,968
05.10.2024 20:27:23:410,29,0,1,2,56298,92919,63326,-65,-229,966
05.10.2024 20:27:23:414,30,0,1,2,56314,92915,63329,-67,-230,968
05.10.2024 20:27:23:417,31,0,1,2,56305,92911,63325,-69,-225,967
05.10.2024 20:27:23:421,32,0,1,2,56309,92907,63328,-67,-229,967
05.10.2024 20:27:23:425,33,0,1,2,56320,92908,63325,-67,-227,972
