Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 13:27:17:88,1,2,0,1,129519,100294,139999,32,-990,205
05.10.2024 13:27:17:92,2,2,0,1,129516,100288,139987,32,-994,204
05.10.2024 13:27:17:96,3,2,0,1,129520,100288,139965,35,-993,205
05.10.2024 13:27:17:100,4,2,0,1,129518,100276,139957,35,-992,206
05.10.2024 13:27:17:104,5,2,0,1,129513,100277,139948,34,-997,208
05.10.2024 13:27:17:108,6,2,0,1,129518,100282,139936,33,-995,206
05.10.2024 13:27:17:112,7,2,0,1,129519,100281,139923,29,-992,210
05.10.2024 13:27:17:116,8,2,0,1,129519,100280,139913,31,-996,200
05.10.2024 13:27:17:120,9,2,0,1,129516,100287,139903,34,-995,209
05.10.2024 13:27:17:123,10,2,0,1,129520,100285,139895,31,-991,206
05.10.2024 13:27:17:127,11,2,0,1,129516,100290,139888,29,-992,204
05.10.2024 13:27:17:131,12,2,0,1,129519,100287,139872,37,-995,205
05.10.2024 13:27:17:135,13,2,0,1,129516,100286,139867,35,-991,205
05.10.2024 13:27:17:139,14,2,0,1,129515,100287,139850,33,-993,205
05.10.2024 13:27:17:143,15,2,0,1,129515,100287,139849,33,-994,206
05.10.2024 13:27:17:147,16,2,0,1,129511,100280,139835,28,-989,207
05.10.2024 13:27:17:151,17,2,0,1,129511,100278,139829,35,-988,206
05.10.2024 13:27:17:155,18,2,0,1,129505,100289,139821,33,-992,201
05.10.2024 13:27:17:159,19,2,0,1,129509,100281,139816,34,-986,211
05.10.2024 13:27:17:162,20,2,0,1,129506,100284,139810,38,-989,207
05.10.2024 13:27:17:166,21,2,0,1,129503,100280,139807,35,-987,208
05.10.2024 13:27:17:170,22,2,0,1,129501,100280,139792,33,-989,206
05.10.2024 13:27:17:174,23,2,0,1,129506,100271,139783,36,-989,208
05.10.2024 13:27:17:178,24,2,0,1,129502,100270,139783,39,-983,203
05.10.2024 13:27:17:182,25,2,0,1,129503,100265,139778,37,-987,205
05.10.2024 13:27:17:186,26,2,0,1,129501,100256,139764,35,-989,206
05.10.2024 13:27:17:190,27,2,0,1,129500,100264,139763,38,-987,206
05.10.2024 13:27:17:194,28,2,0,1,129497,100258,139754,32,-990,206
05.10.2024 13:27:17:198,29,2,0,1,129496,100258,139743,35,-988,205
05.10.2024 13:27:17:201,30,2,0,1,129498,100254,139742,37,-988,210
05.10.2024 13:27:17:205,31,2,0,1,129492,100253,139737,32,-993,208
05.10.2024 13:27:17:209,32,2,0,1,129492,100246,139732,35,-987,204
05.10.2024 13:27:17:213,33,2,0,1,129488,100254,139733,33,-992,202
05.10.2024 13:27:17:217,34,2,0,1,129487,100243,139724,35,-993,211
05.10.2024 13:27:17:221,35,2,0,1,129487,100238,139721,34,-991,207
05.10.2024 13:27:17:225,36,2,0,1,129491,100244,139717,30,-991,206
05.10.2024 13:27:17:229,37,2,0,1,129492,100243,139713,36,-993,208
05.10.2024 13:27:17:233,38,2,0,1,129489,100236,139715,36,-993,204
05.10.2024 13:27:17:237,39,2,0,1,129486,100247,139705,36,-993,204
05.10.2024 13:27:17:240,40,2,0,1,129486,100250,139700,40,-990,206
05.10.2024 13:27:17:244,41,2,0,1,129488,100235,139694,36,-994,211
05.10.2024 13:27:17:248,42,2,0,1,129487,100237,139693,35,-992,207
05.10.2024 13:27:17:252,43,2,0,1,129488,100240,139689,35,-994,207
05.10.2024 13:27:17:256,44,2,0,1,129490,100237,139684,38,-988,202
05.10.2024 13:27:17:260,45,2,0,1,129488,100242,139692,36,-996,208
05.10.2024 13:27:17:264,46,2,0,1,129486,100240,139688,32,-993,208
05.10.2024 13:27:17:268,47,2,0,1,129491,100243,139682,36,-993,206
05.10.2024 13:27:17:272,48,2,0,1,129487,100249,139676,35,-990,205
05.10.2024 13:27:17:276,49,2,0,1,129484,100236,139678,38,-989,204
05.10.2024 13:27:17:279,50,2,0,1,129481,100240,139676,35,-988,207
05.10.2024 13:27:17:283,51,2,0,1,129483,100236,139675,40,-992,206
05.10.2024 13:27:17:287,52,2,0,1,129481,100242,139662,38,-993,203
05.10.2024 13:27:17:291,53,2,0,1,129484,100238,139665,34,-992,203
05.10.2024 13:27:17:295,54,2,0,1,129482,100250,139664,36,-995,207
05.10.2024 13:27:17:299,55,2,0,1,129483,100245,139667,37,-992,205
05.10.2024 13:27:17:303,56,2,0,1,129479,100242,139659,34,-989,209
05.10.2024 13:27:17:307,57,2,0,1,129484,100242,139663,34,-991,206
05.10.2024 13:27:17:311,58,2,0,1,129479,100246,139657,37,-987,205
05.10.2024 13:27:17:315,59,2,0,1,129481,100252,139652,32,-988,204
05.10.2024 13:27:17:318,60,2,0,1,129476,100247,139648,37,-987,204
05.10.2024 13:27:17:322,61,2,0,1,129477,100244,139654,35,-990,203
05.10.2024 13:27:17:326,62,2,0,1,129474,100251,139646,33,-988,207
05.10.2024 13:27:17:330,63,2,0,1,129480,100251,139646,39,-991,207
05.10.2024 13:27:17:334,64,2,0,1,129477,100263,139652,35,-992,208
05.10.2024 13:27:17:338,65,2,0,1,129480,100258,139642,37,-989,204
05.10.2024 13:27:17:342,66,2,0,1,129476,100260,139640,31,-995,203
05.10.2024 13:27:17:346,67,2,0,1,129483,100259,139640,33,-995,204
05.10.2024 13:27:17:350,68,2,0,1,129478,100265,139642,36,-993,208
05.10.2024 13:27:17:354,69,2,0,1,129474,100259,139635,34,-989,205
05.10.2024 13:27:17:357,70,2,0,1,129476,100267,139637,35,-990,205
05.10.2024 13:27:17:361,71,2,0,1,129472,100268,139634,35,-990,206
05.10.2024 13:27:17:365,72,2,0,1,129476,100276,139634,35,-990,205
05.10.2024 13:27:17:369,73,2,0,1,129475,100282,139635,38,-990,206
05.10.2024 13:27:17:373,74,2,0,1,129476,100286,139632,34,-996,205
05.10.2024 13:27:17:377,75,2,0,1,129473,100281,139631,33,-997,206
05.10.2024 13:27:17:381,76,2,0,1,129476,100285,139630,38,-989,208
05.10.2024 13:27:17:385,77,2,0,1,129469,100294,139629,37,-994,203
05.10.2024 13:27:17:389,78,2,0,1,129473,100283,139620,35,-992,208
05.10.2024 13:27:17:393,79,2,0,1,129470,100288,139627,34,-988,207
05.10.2024 13:27:17:396,80,2,0,1,129473,100287,139621,37,-992,205
05.10.2024 13:27:17:400,81,2,0,1,129473,100287,139626,35,-990,204
05.10.2024 13:27:17:404,82,2,0,1,129471,100301,139621,36,-990,208
05.10.2024 13:27:17:408,83,2,0,1,129465,100303,139623,36,-989,204
05.10.2024 13:27:17:412,84,2,0,1,129471,100296,139623,34,-992,209
05.10.2024 13:27:17:416,85,2,0,1,129473,100298,139616,39,-992,205
05.10.2024 13:27:17:420,86,2,0,1,129471,100306,139620,40,-994,206
05.10.2024 13:27:17:424,87,2,0,1,129470,100307,139617,38,-988,205
05.10.2024 13:27:17:428,88,2,0,1,129469,100302,139622,31,-991,208
05.10.2024 13:27:17:432,89,2,0,1,129470,100316,139617,36,-988,210
05.10.2024 13:27:17:435,90,2,0,1,129471,100313,139616,33,-989,204
05.10.2024 13:27:17:439,91,2,0,1,129472,100321,139616,40,-991,204
05.10.2024 13:27:17:443,92,2,0,1,129467,100325,139613,38,-990,207
05.10.2024 13:27:17:447,93,2,0,1,129469,100323,139612,38,-989,208
05.10.2024 13:27:17:451,94,2,0,1,129467,100330,139608,38,-988,207
05.10.2024 13:27:17:455,95,2,0,1,129467,100331,139604,37,-988,202
05.10.2024 13:27:17:459,96,2,0,1,129469,100330,139609,36,-990,208
05.10.2024 13:27:17:463,97,2,0,1,129464,100336,139603,40,-989,208
05.10.2024 13:27:17:467,98,2,0,1,129461,100343,139603,40,-988,207
