MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x0a,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x00,0x6d,0x08,0x18,0x3f,0x50,0x08,0x14,0x00,
0x00,0x00,0x42,0x39,0x25,0x8f,0x02,0x00,0x00,0x00,0x1f,0x81,0x7b,0xa5,0xf3,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x01,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x05,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 12.10.2024 12:06:57:267
expected tags,0,1,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
12.10.2024 12:06:57:290,1,1,2,0,128795.000000,100486.000000,28722.000000,14.000000,-464.000000,891.000000
12.10.2024 12:06:57:293,2,1,2,0,128784.000000,100489.000000,28725.000000,16.000000,-465.000000,890.000000
12.10.2024 12:06:57:296,3,1,2,0,128770.000000,100489.000000,28727.000000,15.000000,-463.000000,890.000000
12.10.2024 12:06:57:299,4,1,2,0,128766.000000,100495.000000,28731.000000,19.000000,-468.000000,889.000000
12.10.2024 12:06:57:303,5,1,2,0,128760.000000,100498.000000,28734.000000,15.000000,-465.000000,889.000000
12.10.2024 12:06:57:306,6,1,2,0,128753.000000,100495.000000,28736.000000,13.000000,-461.000000,888.000000
12.10.2024 12:06:57:309,7,1,2,0,128747.000000,100501.000000,28733.000000,13.000000,-464.000000,892.000000
12.10.2024 12:06:57:312,8,1,2,0,128735.000000,100502.000000,28730.000000,19.000000,-467.000000,898.000000
12.10.2024 12:06:57:316,9,1,2,0,128730.000000,100507.000000,28735.000000,14.000000,-457.000000,891.000000
12.10.2024 12:06:57:319,10,1,2,0,128731.000000,100506.000000,28736.000000,18.000000,-460.000000,892.000000
12.10.2024 12:06:57:322,11,1,2,0,128720.000000,100509.000000,28741.000000,15.000000,-465.000000,894.000000
12.10.2024 12:06:57:325,12,1,2,0,128716.000000,100512.000000,28743.000000,20.000000,-466.000000,894.000000
12.10.2024 12:06:57:329,13,1,2,0,128713.000000,100512.000000,28742.000000,17.000000,-466.000000,894.000000
12.10.2024 12:06:57:332,14,1,2,0,128704.000000,100514.000000,28740.000000,15.000000,-464.000000,895.000000
12.10.2024 12:06:57:335,15,1,2,0,128693.000000,100518.000000,28737.000000,19.000000,-466.000000,887.000000
12.10.2024 12:06:57:338,16,1,2,0,128697.000000,100515.000000,28741.000000,17.000000,-466.000000,893.000000
12.10.2024 12:06:57:342,17,1,2,0,128692.000000,100520.000000,28740.000000,17.000000,-464.000000,887.000000
12.10.2024 12:06:57:345,18,1,2,0,128685.000000,100518.000000,28747.000000,16.000000,-455.000000,892.000000
12.10.2024 12:06:57:348,19,1,2,0,128679.000000,100521.000000,28739.000000,15.000000,-462.000000,892.000000
12.10.2024 12:06:57:351,20,1,2,0,128672.000000,100524.000000,28740.000000,16.000000,-463.000000,890.000000
12.10.2024 12:06:57:355,21,1,2,0,128669.000000,100522.000000,28743.000000,18.000000,-460.000000,888.000000
12.10.2024 12:06:57:358,22,1,2,0,128666.000000,100517.000000,28740.000000,18.000000,-466.000000,892.000000
12.10.2024 12:06:57:361,23,1,2,0,128657.000000,100522.000000,28740.000000,19.000000,-460.000000,889.000000
12.10.2024 12:06:57:364,24,1,2,0,128656.000000,100525.000000,28742.000000,14.000000,-463.000000,893.000000
12.10.2024 12:06:57:368,25,1,2,0,128654.000000,100529.000000,28744.000000,18.000000,-462.000000,892.000000
12.10.2024 12:06:57:371,26,1,2,0,128646.000000,100524.000000,28739.000000,17.000000,-463.000000,892.000000
12.10.2024 12:06:57:374,27,1,2,0,128638.000000,100526.000000,28742.000000,18.000000,-462.000000,892.000000
12.10.2024 12:06:57:377,28,1,2,0,128634.000000,100525.000000,28743.000000,12.000000,-466.000000,888.000000
12.10.2024 12:06:57:381,29,1,2,0,128630.000000,100527.000000,28734.000000,19.000000,-467.000000,892.000000
12.10.2024 12:06:57:384,30,1,2,0,128625.000000,100528.000000,28734.000000,13.000000,-463.000000,893.000000
12.10.2024 12:06:57:387,31,1,2,0,128624.000000,100526.000000,28738.000000,13.000000,-458.000000,893.000000
12.10.2024 12:06:57:390,32,1,2,0,128622.000000,100524.000000,28740.000000,16.000000,-459.000000,894.000000
12.10.2024 12:06:57:394,33,1,2,0,128617.000000,100529.000000,28744.000000,14.000000,-459.000000,889.000000
