Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],Temperature[C]
12.10.2024 12:06:57:384,32.105
12.10.2024 12:06:57:481,32.095
12.10.2024 12:06:57:578,32.09
12.10.2024 12:06:57:676,32.085
12.10.2024 12:06:57:773,32.095
12.10.2024 12:06:57:870,32.11
12.10.2024 12:06:57:968,32.08
12.10.2024 12:06:58:65,32.085
12.10.2024 12:06:58:162,32.09
12.10.2024 12:06:58:260,32.11
12.10.2024 12:06:58:357,32.095
12.10.2024 12:06:58:454,32.08
12.10.2024 12:06:58:552,32.095
12.10.2024 12:06:58:649,32.09
12.10.2024 12:06:58:746,32.08
12.10.2024 12:06:58:844,32.085
12.10.2024 12:06:58:941,32.09
12.10.2024 12:06:59:38,32.09
12.10.2024 12:06:59:136,32.08
12.10.2024 12:06:59:233,32.1
12.10.2024 12:06:59:330,32.085
12.10.2024 12:06:59:428,32.085
12.10.2024 12:06:59:525,32.08
12.10.2024 12:06:59:622,32.105
12.10.2024 12:06:59:720,32.09
12.10.2024 12:06:59:817,32.085
12.10.2024 12:06:59:914,32.09
12.10.2024 12:07:00:12,32.095
12.10.2024 12:07:00:109,32.08
12.10.2024 12:07:00:206,32.075
12.10.2024 12:07:00:304,32.1
12.10.2024 12:07:00:401,32.09
12.10.2024 12:07:00:498,32.11
12.10.2024 12:07:00:596,32.085
12.10.2024 12:07:00:693,32.09
12.10.2024 12:07:00:790,32.095
12.10.2024 12:07:00:888,32.09
12.10.2024 12:07:00:985,32.105
12.10.2024 12:07:01:82,32.095
12.10.2024 12:07:01:180,32.085
12.10.2024 12:07:01:277,32.08
12.10.2024 12:07:01:374,32.09
12.10.2024 12:07:01:472,32.095
12.10.2024 12:07:01:569,32.1
12.10.2024 12:07:01:666,32.085
12.10.2024 12:07:01:764,32.085
12.10.2024 12:07:01:861,32.085
12.10.2024 12:07:01:958,32.09
12.10.2024 12:07:02:56,32.09
12.10.2024 12:07:02:153,32.085
12.10.2024 12:07:02:250,32.1
12.10.2024 12:07:02:347,32.085
12.10.2024 12:07:02:445,32.085
12.10.2024 12:07:02:542,32.085
12.10.2024 12:07:02:639,32.09
12.10.2024 12:07:02:737,32.09
12.10.2024 12:07:02:834,32.095
12.10.2024 12:07:02:931,32.085
12.10.2024 12:07:03:29,32.085
12.10.2024 12:07:03:126,32.09
12.10.2024 12:07:03:223,32.1
12.10.2024 12:07:03:321,32.1
12.10.2024 12:07:03:418,32.09
12.10.2024 12:07:03:515,32.08
12.10.2024 12:07:03:613,32.09
12.10.2024 12:07:03:710,32.09
12.10.2024 12:07:03:807,32.08
12.10.2024 12:07:03:905,32.095
12.10.2024 12:07:04:2,32.09
12.10.2024 12:07:04:99,32.095
12.10.2024 12:07:04:197,32.1
12.10.2024 12:07:04:294,32.08
12.10.2024 12:07:04:391,32.09
12.10.2024 12:07:04:489,32.085
12.10.2024 12:07:04:586,32.09
12.10.2024 12:07:04:683,32.1
12.10.2024 12:07:04:781,32.09
12.10.2024 12:07:04:878,32.1
12.10.2024 12:07:04:975,32.09
12.10.2024 12:07:05:73,32.095
12.10.2024 12:07:05:170,32.105
12.10.2024 12:07:05:267,32.105
12.10.2024 12:07:05:365,32.095
12.10.2024 12:07:05:462,32.09
12.10.2024 12:07:05:559,32.085
12.10.2024 12:07:05:657,32.085
12.10.2024 12:07:05:754,32.09
12.10.2024 12:07:05:851,32.095
12.10.2024 12:07:05:949,32.085
12.10.2024 12:07:06:46,32.1
12.10.2024 12:07:06:143,32.095
12.10.2024 12:07:06:241,32.1
12.10.2024 12:07:06:338,32.09
12.10.2024 12:07:06:435,32.105
12.10.2024 12:07:06:533,32.095
12.10.2024 12:07:06:630,32.105
12.10.2024 12:07:06:727,32.11
12.10.2024 12:07:06:825,32.085
12.10.2024 12:07:06:922,32.095
12.10.2024 12:07:07:19,32.09
12.10.2024 12:07:07:117,32.1
12.10.2024 12:07:07:214,32.1
12.10.2024 12:07:07:311,32.085
12.10.2024 12:07:07:408,32.105
12.10.2024 12:07:07:506,32.09
12.10.2024 12:07:07:603,32.09
12.10.2024 12:07:07:700,32.105
12.10.2024 12:07:07:798,32.09
12.10.2024 12:07:07:895,32.1
12.10.2024 12:07:07:992,32.095
12.10.2024 12:07:08:90,32.095
12.10.2024 12:07:08:187,32.095
12.10.2024 12:07:08:284,32.085
12.10.2024 12:07:08:382,32.095
12.10.2024 12:07:08:479,32.1
12.10.2024 12:07:08:576,32.1
12.10.2024 12:07:08:674,32.1
12.10.2024 12:07:08:771,32.1
12.10.2024 12:07:08:868,32.095
12.10.2024 12:07:08:966,32.1
12.10.2024 12:07:09:63,32.095
12.10.2024 12:07:09:160,32.095
12.10.2024 12:07:09:258,32.09
12.10.2024 12:07:09:355,32.11
12.10.2024 12:07:09:452,32.09
12.10.2024 12:07:09:550,32.1
12.10.2024 12:07:09:647,32.08
12.10.2024 12:07:09:744,32.075
12.10.2024 12:07:09:842,32.085
12.10.2024 12:07:09:939,32.095
12.10.2024 12:07:10:36,32.095
12.10.2024 12:07:10:134,32.1
12.10.2024 12:07:10:231,32.105
12.10.2024 12:07:10:328,32.1
12.10.2024 12:07:10:426,32.095
12.10.2024 12:07:10:523,32.105
12.10.2024 12:07:10:620,32.1
12.10.2024 12:07:10:718,32.095
12.10.2024 12:07:10:815,32.1
12.10.2024 12:07:10:912,32.1
12.10.2024 12:07:11:10,32.09
