Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
13.10.2024 12:44:26:170,1,0,1,2,28712,59017,5068,18,20,995
13.10.2024 12:44:26:173,2,0,1,2,28712,59015,5067,11,23,993
13.10.2024 12:44:26:176,3,0,1,2,28709,59016,5068,15,24,995
13.10.2024 12:44:26:179,4,0,1,2,28711,59010,5066,18,27,991
13.10.2024 12:44:26:183,5,0,1,2,28707,59006,5068,16,24,998
13.10.2024 12:44:26:186,6,0,1,2,28707,59002,5066,16,24,994
13.10.2024 12:44:26:189,7,0,1,2,28707,58999,5067,16,26,995
13.10.2024 12:44:26:192,8,0,1,2,28708,58998,5069,17,22,997
13.10.2024 12:44:26:196,9,0,1,2,28706,58997,5066,16,29,992
13.10.2024 12:44:26:199,10,0,1,2,28705,58990,5067,15,25,998
13.10.2024 12:44:26:202,11,0,1,2,28713,58992,5069,15,27,997
13.10.2024 12:44:26:205,12,0,1,2,28709,58992,5069,17,25,997
13.10.2024 12:44:26:209,13,0,1,2,28712,58988,5067,20,23,995
13.10.2024 12:44:26:212,14,0,1,2,28708,58986,5068,15,27,997
13.10.2024 12:44:26:215,15,0,1,2,28708,58988,5065,14,24,994
13.10.2024 12:44:26:218,16,0,1,2,28706,58984,5068,18,25,996
13.10.2024 12:44:26:222,17,0,1,2,28704,58983,5067,15,23,996
13.10.2024 12:44:26:225,18,0,1,2,28704,58978,5069,15,23,996
13.10.2024 12:44:26:228,19,0,1,2,28707,58980,5069,17,22,994
13.10.2024 12:44:26:231,20,0,1,2,28701,58976,5068,15,23,997
13.10.2024 12:44:26:235,21,0,1,2,28702,58974,5069,20,23,993
13.10.2024 12:44:26:238,22,0,1,2,28705,58969,5069,20,23,995
13.10.2024 12:44:26:241,23,0,1,2,28705,58972,5068,19,23,995
13.10.2024 12:44:26:244,24,0,1,2,28702,58966,5067,15,21,996
13.10.2024 12:44:26:248,25,0,1,2,28702,58968,5070,15,23,996
13.10.2024 12:44:26:251,26,0,1,2,28704,58961,5065,17,25,1000
13.10.2024 12:44:26:254,27,0,1,2,28704,58966,5067,15,22,991
13.10.2024 12:44:26:257,28,0,1,2,28699,58962,5067,20,23,997
13.10.2024 12:44:26:261,29,0,1,2,28702,58963,5066,18,27,995
13.10.2024 12:44:26:264,30,0,1,2,28704,58963,5066,23,23,995
13.10.2024 12:44:26:267,31,0,1,2,28703,58962,5068,19,20,996
13.10.2024 12:44:26:270,32,0,1,2,28700,58962,5068,22,24,992
13.10.2024 12:44:26:274,33,0,1,2,28699,58964,5067,15,25,997
13.10.2024 12:44:26:277,34,0,1,2,28697,58959,5066,17,25,992
13.10.2024 12:44:26:280,35,0,1,2,28702,58956,5067,17,27,995
13.10.2024 12:44:26:283,36,0,1,2,28707,58954,5067,17,24,992
13.10.2024 12:44:26:287,37,0,1,2,28698,58952,5066,18,22,999
13.10.2024 12:44:26:290,38,0,1,2,28700,58952,5065,18,25,997
13.10.2024 12:44:26:293,39,0,1,2,28698,58945,5066,16,21,999
13.10.2024 12:44:26:296,40,0,1,2,28696,58947,5068,21,21,997
13.10.2024 12:44:26:300,41,0,1,2,28695,58946,5066,15,27,997
13.10.2024 12:44:26:303,42,0,1,2,28697,58942,5067,17,20,996
13.10.2024 12:44:26:306,43,0,1,2,28697,58949,5070,18,19,994
13.10.2024 12:44:26:309,44,0,1,2,28695,58944,5067,17,24,994
13.10.2024 12:44:26:312,45,0,1,2,28700,58950,5067,13,25,993
13.10.2024 12:44:26:316,46,0,1,2,28697,58948,5068,20,27,996
13.10.2024 12:44:26:319,47,0,1,2,28698,58947,5068,17,18,994
13.10.2024 12:44:26:322,48,0,1,2,28697,58946,5065,18,26,997
13.10.2024 12:44:26:325,49,0,1,2,28701,58940,5068,14,24,995
13.10.2024 12:44:26:329,50,0,1,2,28699,58944,5066,17,25,991
13.10.2024 12:44:26:332,51,0,1,2,28702,58942,5068,15,22,996
13.10.2024 12:44:26:335,52,0,1,2,28694,58940,5068,18,23,996
13.10.2024 12:44:26:338,53,0,1,2,28696,58942,5067,17,22,993
13.10.2024 12:44:26:342,54,0,1,2,28690,58939,5067,15,22,998
