2024-10-14 13:59:09,617 - INFO - Actual frame rate is 250.14
2024-10-14 13:59:09,618 - INFO - The newest .bin file found: MAX86176_1014_135859.bin
2024-10-14 13:59:09,627 - INFO - Read 28672 bytes, processing 28672 bytes (including leftover).
2024-10-14 13:59:09,627 - INFO - Start time is\uff1a2024-10-14 13:58:59.565
2024-10-14 13:59:09,641 - INFO - Processed up to byte index 28520, leftover data length: 26
2024-10-14 13:59:09,750 - INFO - Read 4096 bytes, processing 4122 bytes (including leftover).
2024-10-14 13:59:09,752 - INFO - Processed up to byte index 4120, leftover data length: 2
2024-10-14 13:59:10,519 - INFO - Read 4096 bytes, processing 4098 bytes (including leftover).
2024-10-14 13:59:10,521 - INFO - Processed up to byte index 4080, leftover data length: 18
2024-10-14 13:59:11,390 - INFO - Read 4096 bytes, processing 4114 bytes (including leftover).
2024-10-14 13:59:11,392 - INFO - Processed up to byte index 4080, leftover data length: 34
2024-10-14 13:59:12,155 - INFO - Read 4096 bytes, processing 4130 bytes (including leftover).
2024-10-14 13:59:12,156 - INFO - Processed up to byte index 4120, leftover data length: 10
2024-10-14 13:59:12,922 - INFO - Read 4096 bytes, processing 4106 bytes (including leftover).
2024-10-14 13:59:12,924 - INFO - Processed up to byte index 4080, leftover data length: 26
2024-10-14 13:59:13,683 - INFO - Read 4096 bytes, processing 4122 bytes (including leftover).
2024-10-14 13:59:13,685 - INFO - Processed up to byte index 4120, leftover data length: 2
2024-10-14 13:59:14,445 - INFO - Read 4096 bytes, processing 4098 bytes (including leftover).
2024-10-14 13:59:14,448 - INFO - Processed up to byte index 4060, leftover data length: 38
2024-10-14 13:59:15,210 - INFO - Read 4096 bytes, processing 4134 bytes (including leftover).
2024-10-14 13:59:15,212 - INFO - Processed up to byte index 4120, leftover data length: 14
2024-10-14 13:59:16,083 - INFO - Read 4096 bytes, processing 4110 bytes (including leftover).
2024-10-14 13:59:16,085 - INFO - Processed up to byte index 4080, leftover data length: 30
2024-10-14 13:59:16,847 - INFO - Read 4096 bytes, processing 4126 bytes (including leftover).
2024-10-14 13:59:16,850 - INFO - Processed up to byte index 4120, leftover data length: 6
2024-10-14 13:59:17,611 - INFO - Read 4096 bytes, processing 4102 bytes (including leftover).
2024-10-14 13:59:17,612 - INFO - Processed up to byte index 4080, leftover data length: 22
2024-10-14 13:59:18,376 - INFO - Read 4096 bytes, processing 4118 bytes (including leftover).
2024-10-14 13:59:18,378 - INFO - Processed up to byte index 4080, leftover data length: 38
