MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x02,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x01,0x48,0x08,0x18,0x3f,0x50,0x08,0x14,0x00,
0x00,0x00,0x42,0x39,0x25,0x8f,0x02,0x00,0x00,0x00,0x1f,0x15,0x8c,0xc9,0x2f,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xcb,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x02,0x00,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x05,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 21.09.2024 13:06:41:71
expected tags,0,0,1,1,2,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC1_PD2,tagLEDC2_PD1,tagLEDC2_PD2,tagLEDC3_PD1,tagLEDC3_PD2,LED1_PPG1,LED1_PPG2,LED2_PPG1,LED2_PPG2,LED3_PPG1,LED3_PPG2,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
21.09.2024 13:06:41:100,1,0,0,1,11,2,11,96949.000000,126464.000000,134712.000000,524287.000000,130156.000000,524287.000000,6.000000,-580.000000,819.000000
21.09.2024 13:06:41:110,2,0,0,1,11,2,11,96947.000000,126449.000000,134679.000000,524287.000000,130128.000000,524287.000000,4.000000,-581.000000,813.000000
21.09.2024 13:06:41:120,3,0,0,1,11,2,11,96927.000000,126443.000000,134650.000000,524287.000000,130102.000000,524287.000000,7.000000,-578.000000,815.000000
21.09.2024 13:06:41:130,4,0,0,1,11,2,11,96916.000000,126432.000000,134623.000000,524287.000000,130089.000000,524287.000000,6.000000,-582.000000,813.000000
21.09.2024 13:06:41:139,5,0,0,1,11,2,11,96916.000000,126428.000000,134600.000000,524287.000000,130068.000000,524287.000000,8.000000,-577.000000,815.000000
21.09.2024 13:06:41:149,6,0,0,1,11,2,11,96898.000000,126414.000000,134573.000000,524287.000000,130036.000000,524287.000000,0.000000,-578.000000,819.000000
21.09.2024 13:06:41:159,7,0,0,1,11,2,11,96879.000000,126407.000000,134545.000000,524287.000000,130010.000000,524287.000000,8.000000,-578.000000,818.000000
21.09.2024 13:06:41:169,8,0,0,1,11,2,11,96878.000000,126394.000000,134519.000000,524287.000000,129991.000000,524287.000000,4.000000,-577.000000,819.000000
21.09.2024 13:06:41:178,9,0,0,1,11,2,11,96871.000000,126387.000000,134502.000000,524287.000000,129969.000000,524287.000000,9.000000,-580.000000,821.000000
21.09.2024 13:06:41:188,10,0,0,1,11,2,11,96845.000000,126376.000000,134470.000000,524287.000000,129945.000000,524287.000000,6.000000,-575.000000,814.000000
21.09.2024 13:06:41:198,11,0,0,1,11,2,11,96840.000000,126364.000000,134444.000000,524287.000000,129919.000000,524287.000000,5.000000,-577.000000,814.000000
21.09.2024 13:06:41:208,12,0,0,1,11,2,11,96834.000000,126365.000000,134430.000000,524287.000000,129899.000000,524287.000000,6.000000,-584.000000,814.000000
21.09.2024 13:06:41:217,13,0,0,1,11,2,11,96812.000000,126340.000000,134403.000000,524287.000000,129875.000000,524287.000000,8.000000,-580.000000,815.000000
21.09.2024 13:06:41:227,14,0,0,1,11,2,11,96808.000000,126342.000000,134377.000000,524287.000000,129854.000000,524287.000000,3.000000,-584.000000,816.000000
21.09.2024 13:06:41:237,15,0,0,1,11,2,11,96791.000000,126329.000000,134355.000000,524287.000000,129825.000000,524287.000000,7.000000,-579.000000,817.000000
21.09.2024 13:06:41:247,16,0,0,1,11,2,11,96783.000000,126312.000000,134329.000000,524287.000000,129803.000000,524287.000000,13.000000,-582.000000,816.000000
21.09.2024 13:06:41:256,17,0,0,1,11,2,11,96760.000000,126306.000000,134313.000000,524287.000000,129779.000000,524287.000000,12.000000,-577.000000,816.000000
21.09.2024 13:06:41:266,18,0,0,1,11,2,11,96751.000000,126297.000000,134293.000000,524287.000000,129763.000000,524287.000000,9.000000,-578.000000,816.000000
21.09.2024 13:06:41:276,19,0,0,1,11,2,11,96729.000000,126281.000000,134270.000000,524287.000000,129736.000000,524287.000000,11.000000,-578.000000,817.000000
21.09.2024 13:06:41:286,20,0,0,1,11,2,11,96719.000000,126270.000000,134251.000000,524287.000000,129715.000000,524287.000000,8.000000,-580.000000,818.000000
21.09.2024 13:06:41:296,21,0,0,1,11,2,11,96713.000000,126262.000000,134226.000000,524287.000000,129698.000000,524287.000000,14.000000,-574.000000,815.000000
21.09.2024 13:06:41:305,22,0,0,1,11,2,11,96696.000000,126244.000000,134212.000000,524287.000000,129673.000000,524287.000000,11.000000,-585.000000,818.000000
21.09.2024 13:06:41:315,23,0,0,1,11,2,11,96690.000000,126237.000000,134194.000000,524287.000000,129655.000000,524287.000000,7.000000,-585.000000,817.000000
21.09.2024 13:06:41:325,24,0,0,1,11,2,11,96675.000000,126228.000000,134174.000000,524287.000000,129632.000000,524287.000000,8.000000,-578.000000,817.000000
