MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x02,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x01,0x48,0x08,0x18,0x3f,0x50,0x08,0x14,0x00,
0x00,0x00,0x42,0x39,0x25,0x8f,0x02,0x00,0x00,0x00,0x1f,0x15,0x93,0xa0,0x62,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xcb,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x02,0x00,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x05,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 21.09.2024 13:14:09:378
expected tags,0,0,1,1,2,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC1_PD2,tagLEDC2_PD1,tagLEDC2_PD2,tagLEDC3_PD1,tagLEDC3_PD2,LED1_PPG1,LED1_PPG2,LED2_PPG1,LED2_PPG2,LED3_PPG1,LED3_PPG2,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
21.09.2024 13:14:09:407,1,0,0,1,11,2,11,106092.000000,134498.000000,136119.000000,524287.000000,131505.000000,524287.000000,81.000000,-548.000000,835.000000
21.09.2024 13:14:09:417,2,0,0,1,11,2,11,106121.000000,134514.000000,136076.000000,524287.000000,131500.000000,524287.000000,82.000000,-553.000000,826.000000
21.09.2024 13:14:09:427,3,0,0,1,11,2,11,106095.000000,134493.000000,136055.000000,524287.000000,131494.000000,524287.000000,81.000000,-555.000000,826.000000
21.09.2024 13:14:09:437,4,0,0,1,11,2,11,106082.000000,134471.000000,136025.000000,524287.000000,131482.000000,524287.000000,82.000000,-557.000000,831.000000
21.09.2024 13:14:09:446,5,0,0,1,11,2,11,106050.000000,134437.000000,135988.000000,524287.000000,131453.000000,524287.000000,81.000000,-562.000000,832.000000
21.09.2024 13:14:09:456,6,0,0,1,11,2,11,106005.000000,134402.000000,135930.000000,524287.000000,131419.000000,524287.000000,86.000000,-558.000000,829.000000
21.09.2024 13:14:09:466,7,0,0,1,11,2,11,105966.000000,134362.000000,135877.000000,524287.000000,131378.000000,524287.000000,89.000000,-561.000000,828.000000
21.09.2024 13:14:09:476,8,0,0,1,11,2,11,105921.000000,134331.000000,135817.000000,524287.000000,131325.000000,524287.000000,87.000000,-560.000000,835.000000
21.09.2024 13:14:09:485,9,0,0,1,11,2,11,105882.000000,134313.000000,135758.000000,524287.000000,131269.000000,524287.000000,89.000000,-558.000000,834.000000
21.09.2024 13:14:09:495,10,0,0,1,11,2,11,105839.000000,134278.000000,135697.000000,524287.000000,131228.000000,524287.000000,90.000000,-553.000000,837.000000
21.09.2024 13:14:09:505,11,0,0,1,11,2,11,105798.000000,134253.000000,135657.000000,524287.000000,131197.000000,524287.000000,85.000000,-561.000000,832.000000
21.09.2024 13:14:09:515,12,0,0,1,11,2,11,105779.000000,134231.000000,135613.000000,524287.000000,131165.000000,524287.000000,85.000000,-553.000000,831.000000
21.09.2024 13:14:09:524,13,0,0,1,11,2,11,105745.000000,134221.000000,135573.000000,524287.000000,131120.000000,524287.000000,83.000000,-559.000000,827.000000
21.09.2024 13:14:09:534,14,0,0,1,11,2,11,105731.000000,134220.000000,135532.000000,524287.000000,131086.000000,524287.000000,86.000000,-559.000000,829.000000
21.09.2024 13:14:09:544,15,0,0,1,11,2,11,105703.000000,134209.000000,135494.000000,524287.000000,131052.000000,524287.000000,85.000000,-552.000000,828.000000
21.09.2024 13:14:09:554,16,0,0,1,11,2,11,105670.000000,134210.000000,135446.000000,524287.000000,131013.000000,524287.000000,82.000000,-546.000000,834.000000
21.09.2024 13:14:09:563,17,0,0,1,11,2,11,105656.000000,134202.000000,135399.000000,524287.000000,130974.000000,524287.000000,88.000000,-548.000000,839.000000
21.09.2024 13:14:09:573,18,0,0,1,11,2,11,105633.000000,134188.000000,135362.000000,524287.000000,130938.000000,524287.000000,86.000000,-544.000000,835.000000
21.09.2024 13:14:09:583,19,0,0,1,11,2,11,105605.000000,134176.000000,135315.000000,524287.000000,130887.000000,524287.000000,84.000000,-551.000000,840.000000
21.09.2024 13:14:09:593,20,0,0,1,11,2,11,105582.000000,134167.000000,135255.000000,524287.000000,130836.000000,524287.000000,83.000000,-544.000000,838.000000
21.09.2024 13:14:09:603,21,0,0,1,11,2,11,105536.000000,134155.000000,135202.000000,524287.000000,130792.000000,524287.000000,84.000000,-543.000000,842.000000
21.09.2024 13:14:09:612,22,0,0,1,11,2,11,105512.000000,134134.000000,135153.000000,524287.000000,130744.000000,524287.000000,84.000000,-542.000000,841.000000
21.09.2024 13:14:09:622,23,0,0,1,11,2,11,105483.000000,134119.000000,135095.000000,524287.000000,130702.000000,524287.000000,81.000000,-540.000000,842.000000
21.09.2024 13:14:09:632,24,0,0,1,11,2,11,105444.000000,134087.000000,135059.000000,524287.000000,130667.000000,524287.000000,81.000000,-539.000000,837.000000
