MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x02,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x01,0x48,0x08,0x18,0x3f,0x50,0x08,0x14,0x00,
0x00,0x00,0x42,0x39,0x25,0x8f,0x02,0x00,0x00,0x00,0x1f,0x15,0x9c,0xc2,0x16,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xcb,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x02,0x00,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x05,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 21.09.2024 13:24:07:830
expected tags,0,0,1,1,2,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC1_PD2,tagLEDC2_PD1,tagLEDC2_PD2,tagLEDC3_PD1,tagLEDC3_PD2,LED1_PPG1,LED1_PPG2,LED2_PPG1,LED2_PPG2,LED3_PPG1,LED3_PPG2,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
21.09.2024 13:24:07:859,1,0,0,1,11,2,11,81772.000000,117461.000000,143244.000000,524287.000000,133462.000000,524287.000000,-76.000000,-519.000000,854.000000
21.09.2024 13:24:07:869,2,0,0,1,11,2,11,81770.000000,117448.000000,143231.000000,524287.000000,133463.000000,524287.000000,-78.000000,-517.000000,854.000000
21.09.2024 13:24:07:879,3,0,0,1,11,2,11,81746.000000,117440.000000,143204.000000,524287.000000,133457.000000,524287.000000,-77.000000,-518.000000,858.000000
21.09.2024 13:24:07:889,4,0,0,1,11,2,11,81736.000000,117413.000000,143189.000000,524287.000000,133448.000000,524287.000000,-80.000000,-515.000000,858.000000
21.09.2024 13:24:07:898,5,0,0,1,11,2,11,81723.000000,117390.000000,143177.000000,524287.000000,133449.000000,524287.000000,-75.000000,-517.000000,859.000000
21.09.2024 13:24:07:908,6,0,0,1,11,2,11,81719.000000,117381.000000,143165.000000,524287.000000,133445.000000,524287.000000,-76.000000,-511.000000,856.000000
21.09.2024 13:24:07:918,7,0,0,1,11,2,11,81732.000000,117377.000000,143155.000000,524287.000000,133443.000000,524287.000000,-78.000000,-509.000000,857.000000
21.09.2024 13:24:07:928,8,0,0,1,11,2,11,81720.000000,117366.000000,143152.000000,524287.000000,133440.000000,524287.000000,-75.000000,-518.000000,859.000000
21.09.2024 13:24:07:937,9,0,0,1,11,2,11,81714.000000,117354.000000,143157.000000,524287.000000,133449.000000,524287.000000,-76.000000,-515.000000,858.000000
21.09.2024 13:24:07:947,10,0,0,1,11,2,11,81705.000000,117335.000000,143147.000000,524287.000000,133436.000000,524287.000000,-80.000000,-520.000000,857.000000
21.09.2024 13:24:07:957,11,0,0,1,11,2,11,81695.000000,117301.000000,143135.000000,524287.000000,133440.000000,524287.000000,-77.000000,-522.000000,858.000000
21.09.2024 13:24:07:967,12,0,0,1,11,2,11,81670.000000,117263.000000,143126.000000,524287.000000,133433.000000,524287.000000,-77.000000,-521.000000,855.000000
21.09.2024 13:24:07:976,13,0,0,1,11,2,11,81654.000000,117241.000000,143119.000000,524287.000000,133427.000000,524287.000000,-79.000000,-516.000000,854.000000
21.09.2024 13:24:07:986,14,0,0,1,11,2,11,81639.000000,117219.000000,143100.000000,524287.000000,133420.000000,524287.000000,-73.000000,-512.000000,854.000000
21.09.2024 13:24:07:996,15,0,0,1,11,2,11,81616.000000,117199.000000,143094.000000,524287.000000,133412.000000,524287.000000,-76.000000,-515.000000,854.000000
21.09.2024 13:24:08:6,16,0,0,1,11,2,11,81602.000000,117177.000000,143088.000000,524287.000000,133409.000000,524287.000000,-70.000000,-515.000000,854.000000
21.09.2024 13:24:08:15,17,0,0,1,11,2,11,81601.000000,117164.000000,143077.000000,524287.000000,133405.000000,524287.000000,-68.000000,-516.000000,862.000000
21.09.2024 13:24:08:25,18,0,0,1,11,2,11,81585.000000,117142.000000,143069.000000,524287.000000,133397.000000,524287.000000,-78.000000,-515.000000,856.000000
21.09.2024 13:24:08:35,19,0,0,1,11,2,11,81575.000000,117105.000000,143060.000000,524287.000000,133390.000000,524287.000000,-77.000000,-514.000000,855.000000
21.09.2024 13:24:08:45,20,0,0,1,11,2,11,81558.000000,117077.000000,143053.000000,524287.000000,133378.000000,524287.000000,-76.000000,-516.000000,856.000000
21.09.2024 13:24:08:55,21,0,0,1,11,2,11,81552.000000,117070.000000,143048.000000,524287.000000,133380.000000,524287.000000,-78.000000,-516.000000,857.000000
21.09.2024 13:24:08:64,22,0,0,1,11,2,11,81547.000000,117065.000000,143038.000000,524287.000000,133367.000000,524287.000000,-79.000000,-512.000000,853.000000
21.09.2024 13:24:08:74,23,0,0,1,11,2,11,81534.000000,117051.000000,143029.000000,524287.000000,133362.000000,524287.000000,-73.000000,-514.000000,856.000000
