MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x02,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x01,0x48,0x08,0x18,0x3f,0x50,0x08,0x14,0x00,
0x00,0x00,0x42,0x39,0x25,0x8f,0x02,0x00,0x00,0x00,0x1f,0x15,0xa1,0x55,0xaa,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xcb,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x02,0x00,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x05,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 21.09.2024 13:29:07:754
expected tags,0,0,1,1,2,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC1_PD2,tagLEDC2_PD1,tagLEDC2_PD2,tagLEDC3_PD1,tagLEDC3_PD2,LED1_PPG1,LED1_PPG2,LED2_PPG1,LED2_PPG2,LED3_PPG1,LED3_PPG2,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
21.09.2024 13:29:07:783,1,0,0,1,11,2,11,113387.000000,143002.000000,139470.000000,524287.000000,144187.000000,524287.000000,-116.000000,-677.000000,732.000000
21.09.2024 13:29:07:793,2,0,0,1,11,2,11,113383.000000,143012.000000,139450.000000,524287.000000,144180.000000,524287.000000,-114.000000,-678.000000,734.000000
21.09.2024 13:29:07:803,3,0,0,1,11,2,11,113376.000000,143021.000000,139429.000000,524287.000000,144173.000000,524287.000000,-117.000000,-680.000000,732.000000
21.09.2024 13:29:07:813,4,0,0,1,11,2,11,113370.000000,143009.000000,139414.000000,524287.000000,144170.000000,524287.000000,-119.000000,-678.000000,735.000000
21.09.2024 13:29:07:822,5,0,0,1,11,2,11,113359.000000,143012.000000,139393.000000,524287.000000,144158.000000,524287.000000,-115.000000,-679.000000,733.000000
21.09.2024 13:29:07:832,6,0,0,1,11,2,11,113339.000000,142998.000000,139375.000000,524287.000000,144143.000000,524287.000000,-115.000000,-678.000000,735.000000
21.09.2024 13:29:07:842,7,0,0,1,11,2,11,113323.000000,142990.000000,139352.000000,524287.000000,144135.000000,524287.000000,-116.000000,-677.000000,741.000000
21.09.2024 13:29:07:852,8,0,0,1,11,2,11,113314.000000,142995.000000,139332.000000,524287.000000,144125.000000,524287.000000,-117.000000,-671.000000,733.000000
21.09.2024 13:29:07:861,9,0,0,1,11,2,11,113295.000000,142985.000000,139316.000000,524287.000000,144120.000000,524287.000000,-115.000000,-680.000000,739.000000
21.09.2024 13:29:07:871,10,0,0,1,11,2,11,113289.000000,142986.000000,139306.000000,524287.000000,144114.000000,524287.000000,-113.000000,-680.000000,734.000000
21.09.2024 13:29:07:881,11,0,0,1,11,2,11,113284.000000,142976.000000,139298.000000,524287.000000,144118.000000,524287.000000,-115.000000,-680.000000,736.000000
21.09.2024 13:29:07:891,12,0,0,1,11,2,11,113275.000000,142953.000000,139293.000000,524287.000000,144109.000000,524287.000000,-110.000000,-677.000000,733.000000
21.09.2024 13:29:07:900,13,0,0,1,11,2,11,113276.000000,142955.000000,139290.000000,524287.000000,144110.000000,524287.000000,-116.000000,-682.000000,736.000000
21.09.2024 13:29:07:910,14,0,0,1,11,2,11,113274.000000,142947.000000,139280.000000,524287.000000,144111.000000,524287.000000,-113.000000,-682.000000,736.000000
21.09.2024 13:29:07:920,15,0,0,1,11,2,11,113265.000000,142953.000000,139275.000000,524287.000000,144104.000000,524287.000000,-116.000000,-675.000000,732.000000
21.09.2024 13:29:07:930,16,0,0,1,11,2,11,113259.000000,142940.000000,139261.000000,524287.000000,144101.000000,524287.000000,-116.000000,-679.000000,740.000000
21.09.2024 13:29:07:939,17,0,0,1,11,2,11,113253.000000,142940.000000,139255.000000,524287.000000,144093.000000,524287.000000,-116.000000,-677.000000,737.000000
21.09.2024 13:29:07:949,18,0,0,1,11,2,11,113250.000000,142936.000000,139259.000000,524287.000000,144091.000000,524287.000000,-119.000000,-673.000000,732.000000
21.09.2024 13:29:07:959,19,0,0,1,11,2,11,113235.000000,142934.000000,139239.000000,524287.000000,144085.000000,524287.000000,-114.000000,-676.000000,737.000000
21.09.2024 13:29:07:969,20,0,0,1,11,2,11,113237.000000,142931.000000,139244.000000,524287.000000,144086.000000,524287.000000,-113.000000,-678.000000,736.000000
21.09.2024 13:29:07:978,21,0,0,1,11,2,11,113236.000000,142932.000000,139236.000000,524287.000000,144085.000000,524287.000000,-115.000000,-677.000000,738.000000
21.09.2024 13:29:07:988,22,0,0,1,11,2,11,113236.000000,142931.000000,139229.000000,524287.000000,144079.000000,524287.000000,-115.000000,-679.000000,733.000000
21.09.2024 13:29:07:998,23,0,0,1,11,2,11,113227.000000,142921.000000,139230.000000,524287.000000,144080.000000,524287.000000,-115.000000,-680.000000,737.000000
