MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x02,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x01,0x48,0x08,0x18,0x3f,0x50,0x08,0x86,0x00,
0x00,0x00,0x42,0x39,0x0b,0x70,0x02,0x00,0x00,0x00,0x1f,0x15,0x93,0x9a,0x13,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xcb,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x02,0x00,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x01,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 21.09.2024 13:14:07:763
expected tags,0,0,1,1,2,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC1_PD2,tagLEDC2_PD1,tagLEDC2_PD2,tagLEDC3_PD1,tagLEDC3_PD2,LED1_PPG1,LED1_PPG2,LED2_PPG1,LED2_PPG2,LED3_PPG1,LED3_PPG2,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
21.09.2024 13:14:07:792,1,0,0,1,11,2,11,198355.000000,195190.000000,447913.000000,524287.000000,468250.000000,524287.000000,490.000000,-273.000000,812.000000
21.09.2024 13:14:07:802,2,0,0,1,11,2,11,198081.000000,194928.000000,446121.000000,524287.000000,468116.000000,524287.000000,485.000000,-266.000000,813.000000
21.09.2024 13:14:07:812,3,0,0,1,11,2,11,197931.000000,194767.000000,444681.000000,524287.000000,468004.000000,524287.000000,488.000000,-266.000000,813.000000
21.09.2024 13:14:07:822,4,0,0,1,11,2,11,197792.000000,194652.000000,443450.000000,524287.000000,467901.000000,524287.000000,488.000000,-267.000000,818.000000
21.09.2024 13:14:07:831,5,0,0,1,11,2,11,197690.000000,194589.000000,442365.000000,524287.000000,467795.000000,524287.000000,484.000000,-271.000000,807.000000
21.09.2024 13:14:07:841,6,0,0,1,11,2,11,197599.000000,194523.000000,441422.000000,524287.000000,467723.000000,524287.000000,484.000000,-266.000000,814.000000
21.09.2024 13:14:07:851,7,0,0,1,11,2,11,197522.000000,194469.000000,440578.000000,524287.000000,467648.000000,524287.000000,487.000000,-269.000000,813.000000
21.09.2024 13:14:07:861,8,0,0,1,11,2,11,197466.000000,194417.000000,439798.000000,524287.000000,467566.000000,524287.000000,488.000000,-271.000000,813.000000
21.09.2024 13:14:07:870,9,0,0,1,11,2,11,197383.000000,194343.000000,439094.000000,524287.000000,467504.000000,524287.000000,485.000000,-264.000000,820.000000
21.09.2024 13:14:07:880,10,0,0,1,11,2,11,197320.000000,194293.000000,438453.000000,524287.000000,467426.000000,524287.000000,483.000000,-256.000000,819.000000
21.09.2024 13:14:07:890,11,0,0,1,11,2,11,197268.000000,194236.000000,437855.000000,524287.000000,467335.000000,524287.000000,481.000000,-269.000000,814.000000
21.09.2024 13:14:07:900,12,0,0,1,11,2,11,197220.000000,194173.000000,437288.000000,524287.000000,467246.000000,524287.000000,483.000000,-265.000000,816.000000
21.09.2024 13:14:07:910,13,0,0,1,11,2,11,197159.000000,194107.000000,436778.000000,524287.000000,467178.000000,524287.000000,482.000000,-259.000000,816.000000
21.09.2024 13:14:07:919,14,0,0,1,11,2,11,197113.000000,194046.000000,436304.000000,524287.000000,467092.000000,524287.000000,480.000000,-264.000000,815.000000
21.09.2024 13:14:07:929,15,0,0,1,11,2,11,197050.000000,193968.000000,435832.000000,524287.000000,467000.000000,524287.000000,483.000000,-273.000000,819.000000
21.09.2024 13:14:07:939,16,0,0,1,11,2,11,197016.000000,193916.000000,435420.000000,524287.000000,466946.000000,524287.000000,484.000000,-269.000000,819.000000
21.09.2024 13:14:07:949,17,0,0,1,11,2,11,197000.000000,193880.000000,435067.000000,524287.000000,466911.000000,524287.000000,488.000000,-269.000000,813.000000
21.09.2024 13:14:07:958,18,0,0,1,11,2,11,197021.000000,193874.000000,434726.000000,524287.000000,466859.000000,524287.000000,484.000000,-271.000000,818.000000
21.09.2024 13:14:07:968,19,0,0,1,11,2,11,197021.000000,193855.000000,434406.000000,524287.000000,466827.000000,524287.000000,487.000000,-273.000000,813.000000
21.09.2024 13:14:07:978,20,0,0,1,11,2,11,197026.000000,193853.000000,434106.000000,524287.000000,466768.000000,524287.000000,488.000000,-268.000000,813.000000
21.09.2024 13:14:07:988,21,0,0,1,11,2,11,196987.000000,193794.000000,433805.000000,524287.000000,466702.000000,524287.000000,488.000000,-270.000000,818.000000
21.09.2024 13:14:07:998,22,0,0,1,11,2,11,196936.000000,193751.000000,433508.000000,524287.000000,466638.000000,524287.000000,485.000000,-270.000000,815.000000
21.09.2024 13:14:08:7,23,0,0,1,11,2,11,196891.000000,193710.000000,433227.000000,524287.000000,466582.000000,524287.000000,482.000000,-272.000000,814.000000
21.09.2024 13:14:08:17,24,0,0,1,11,2,11,196824.000000,193642.000000,432965.000000,524287.000000,466521.000000,524287.000000,488.000000,-272.000000,818.000000
