MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x02,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x01,0x48,0x08,0x18,0x3f,0x50,0x08,0x86,0x00,
0x00,0x00,0x42,0x39,0x0b,0x70,0x02,0x00,0x00,0x00,0x1f,0x15,0x9c,0xbd,0x8a,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xcb,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x02,0x00,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x01,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 21.09.2024 13:24:06:666
expected tags,0,0,1,1,2,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC1_PD2,tagLEDC2_PD1,tagLEDC2_PD2,tagLEDC3_PD1,tagLEDC3_PD2,LED1_PPG1,LED1_PPG2,LED2_PPG1,LED2_PPG2,LED3_PPG1,LED3_PPG2,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
21.09.2024 13:24:06:695,1,0,0,11,11,2,11,218158.000000,204571.000000,523237.000000,524287.000000,490858.000000,524287.000000,134.000000,-715.000000,686.000000
21.09.2024 13:24:06:705,2,0,0,11,11,2,11,218056.000000,204466.000000,522085.000000,524287.000000,490792.000000,524287.000000,130.000000,-707.000000,692.000000
21.09.2024 13:24:06:715,3,0,0,11,11,2,11,217924.000000,204362.000000,521054.000000,524287.000000,490754.000000,524287.000000,132.000000,-702.000000,690.000000
21.09.2024 13:24:06:725,4,0,0,11,11,2,11,217810.000000,204293.000000,520140.000000,524287.000000,490750.000000,524287.000000,134.000000,-698.000000,696.000000
21.09.2024 13:24:06:734,5,0,0,11,11,2,11,217712.000000,204199.000000,519359.000000,524287.000000,490746.000000,524287.000000,138.000000,-694.000000,691.000000
21.09.2024 13:24:06:744,6,0,0,11,11,2,11,217667.000000,204155.000000,518630.000000,524287.000000,490737.000000,524287.000000,140.000000,-694.000000,694.000000
21.09.2024 13:24:06:754,7,0,0,11,11,2,11,217608.000000,204095.000000,517963.000000,524287.000000,490707.000000,524287.000000,139.000000,-692.000000,698.000000
21.09.2024 13:24:06:764,8,0,0,11,11,2,11,217548.000000,204034.000000,517344.000000,524287.000000,490695.000000,524287.000000,138.000000,-691.000000,699.000000
21.09.2024 13:24:06:773,9,0,0,11,11,2,11,217526.000000,203988.000000,516783.000000,524287.000000,490628.000000,524287.000000,133.000000,-691.000000,691.000000
21.09.2024 13:24:06:783,10,0,0,11,11,2,11,217463.000000,203912.000000,516200.000000,524287.000000,490540.000000,524287.000000,136.000000,-703.000000,691.000000
21.09.2024 13:24:06:793,11,0,0,11,11,2,11,217375.000000,203840.000000,515654.000000,524287.000000,490464.000000,524287.000000,130.000000,-705.000000,688.000000
21.09.2024 13:24:06:803,12,0,0,11,11,2,11,217331.000000,203796.000000,515160.000000,524287.000000,490400.000000,524287.000000,135.000000,-705.000000,689.000000
21.09.2024 13:24:06:813,13,0,0,11,11,2,11,217274.000000,203730.000000,514702.000000,524287.000000,490310.000000,524287.000000,137.000000,-710.000000,687.000000
21.09.2024 13:24:06:822,14,0,0,11,11,2,11,217184.000000,203659.000000,514269.000000,524287.000000,490258.000000,524287.000000,133.000000,-709.000000,687.000000
21.09.2024 13:24:06:832,15,0,0,11,11,2,11,217128.000000,203615.000000,513885.000000,524287.000000,490237.000000,524287.000000,133.000000,-711.000000,695.000000
21.09.2024 13:24:06:842,16,0,0,11,11,2,11,217092.000000,203579.000000,513557.000000,524287.000000,490209.000000,524287.000000,135.000000,-702.000000,691.000000
21.09.2024 13:24:06:852,17,0,0,11,11,2,11,217045.000000,203544.000000,513225.000000,524287.000000,490193.000000,524287.000000,133.000000,-703.000000,692.000000
21.09.2024 13:24:06:861,18,0,0,11,11,2,11,216995.000000,203498.000000,512941.000000,524287.000000,490215.000000,524287.000000,132.000000,-704.000000,690.000000
21.09.2024 13:24:06:871,19,0,0,11,11,2,11,216983.000000,203482.000000,512681.000000,524287.000000,490207.000000,524287.000000,131.000000,-704.000000,690.000000
21.09.2024 13:24:06:881,20,0,0,11,11,2,11,216942.000000,203438.000000,512431.000000,524287.000000,490185.000000,524287.000000,138.000000,-699.000000,691.000000
21.09.2024 13:24:06:891,21,0,0,11,11,2,11,216900.000000,203425.000000,512176.000000,524287.000000,490158.000000,524287.000000,137.000000,-699.000000,694.000000
21.09.2024 13:24:06:901,22,0,0,11,11,2,11,216844.000000,203373.000000,511915.000000,524287.000000,490123.000000,524287.000000,129.000000,-703.000000,688.000000
21.09.2024 13:24:06:910,23,0,0,11,11,2,11,216787.000000,203336.000000,511665.000000,524287.000000,490093.000000,524287.000000,134.000000,-705.000000,693.000000
21.09.2024 13:24:06:920,24,0,0,11,11,2,11,216721.000000,203286.000000,511421.000000,524287.000000,490042.000000,524287.000000,133.000000,-704.000000,696.000000
