MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x02,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x01,0x48,0x08,0x18,0x3f,0x50,0x08,0x86,0x00,
0x00,0x00,0x42,0x39,0x0b,0x70,0x02,0x00,0x00,0x00,0x1f,0x15,0xa1,0x52,0x1d,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xcb,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x02,0x00,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x01,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 21.09.2024 13:29:06:845
expected tags,0,0,1,1,2,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC1_PD2,tagLEDC2_PD1,tagLEDC2_PD2,tagLEDC3_PD1,tagLEDC3_PD2,LED1_PPG1,LED1_PPG2,LED2_PPG1,LED2_PPG2,LED3_PPG1,LED3_PPG2,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
21.09.2024 13:29:06:874,1,0,0,1,11,2,11,195379.000000,172762.000000,447434.000000,524287.000000,410531.000000,524287.000000,62.000000,-702.000000,708.000000
21.09.2024 13:29:06:884,2,0,0,1,11,2,11,195261.000000,172648.000000,445755.000000,524287.000000,410696.000000,524287.000000,64.000000,-699.000000,703.000000
21.09.2024 13:29:06:894,3,0,0,1,11,2,11,195187.000000,172590.000000,444347.000000,524287.000000,410728.000000,524287.000000,60.000000,-702.000000,702.000000
21.09.2024 13:29:06:904,4,0,0,1,11,2,11,195090.000000,172539.000000,443139.000000,524287.000000,410766.000000,524287.000000,62.000000,-710.000000,701.000000
21.09.2024 13:29:06:913,5,0,0,1,11,2,11,195057.000000,172537.000000,442107.000000,524287.000000,410826.000000,524287.000000,62.000000,-704.000000,703.000000
21.09.2024 13:29:06:923,6,0,0,1,11,2,11,195024.000000,172529.000000,441184.000000,524287.000000,410836.000000,524287.000000,64.000000,-708.000000,709.000000
21.09.2024 13:29:06:933,7,0,0,1,11,2,11,194973.000000,172517.000000,440359.000000,524287.000000,410889.000000,524287.000000,62.000000,-705.000000,707.000000
21.09.2024 13:29:06:943,8,0,0,1,11,2,11,194958.000000,172514.000000,439656.000000,524287.000000,410994.000000,524287.000000,62.000000,-700.000000,705.000000
21.09.2024 13:29:06:952,9,0,0,1,11,2,11,195005.000000,172548.000000,439064.000000,524287.000000,411070.000000,524287.000000,66.000000,-699.000000,704.000000
21.09.2024 13:29:06:962,10,0,0,1,11,2,11,194995.000000,172556.000000,438473.000000,524287.000000,411083.000000,524287.000000,58.000000,-699.000000,708.000000
21.09.2024 13:29:06:972,11,0,0,1,11,2,11,194975.000000,172562.000000,437910.000000,524287.000000,411116.000000,524287.000000,56.000000,-705.000000,704.000000
21.09.2024 13:29:06:982,12,0,0,1,11,2,11,195004.000000,172588.000000,437449.000000,524287.000000,411157.000000,524287.000000,59.000000,-695.000000,704.000000
21.09.2024 13:29:06:992,13,0,0,1,11,2,11,195015.000000,172610.000000,436972.000000,524287.000000,411114.000000,524287.000000,61.000000,-704.000000,704.000000
21.09.2024 13:29:07:1,14,0,0,1,11,2,11,194975.000000,172619.000000,436479.000000,524287.000000,411075.000000,524287.000000,56.000000,-708.000000,703.000000
21.09.2024 13:29:07:11,15,0,0,1,11,2,11,194947.000000,172627.000000,436077.000000,524287.000000,411097.000000,524287.000000,59.000000,-707.000000,700.000000
21.09.2024 13:29:07:21,16,0,0,1,11,2,11,194982.000000,172639.000000,435743.000000,524287.000000,411110.000000,524287.000000,62.000000,-710.000000,698.000000
21.09.2024 13:29:07:31,17,0,0,1,11,2,11,194967.000000,172645.000000,435374.000000,524287.000000,411099.000000,524287.000000,60.000000,-709.000000,700.000000
21.09.2024 13:29:07:40,18,0,0,1,11,2,11,194935.000000,172651.000000,435055.000000,524287.000000,411133.000000,524287.000000,55.000000,-706.000000,696.000000
21.09.2024 13:29:07:50,19,0,0,1,11,2,11,194938.000000,172632.000000,434814.000000,524287.000000,411190.000000,524287.000000,59.000000,-702.000000,699.000000
21.09.2024 13:29:07:60,20,0,0,1,11,2,11,194930.000000,172627.000000,434559.000000,524287.000000,411184.000000,524287.000000,60.000000,-703.000000,704.000000
21.09.2024 13:29:07:70,21,0,0,1,11,2,11,194868.000000,172595.000000,434286.000000,524287.000000,411186.000000,524287.000000,122.000000,-704.000000,708.000000
21.09.2024 13:29:07:80,22,0,0,1,11,2,11,194845.000000,172567.000000,434080.000000,524287.000000,411236.000000,524287.000000,66.000000,-701.000000,697.000000
21.09.2024 13:29:07:89,23,0,0,1,11,2,11,194840.000000,172556.000000,433882.000000,524287.000000,411234.000000,524287.000000,67.000000,-691.000000,703.000000
21.09.2024 13:29:07:99,24,0,0,1,11,2,11,194803.000000,172541.000000,433633.000000,524287.000000,411208.000000,524287.000000,62.000000,-700.000000,703.000000
